Gene	Transcript	Chrom	Start	End	Strand	ExonCount
ABCC8	NM_000352	chr11	17414432	17498392	-	39
USH1C	NM_153676	chr11	17515447	17565963	-	27
OTOG	NM_001292063	chr11	17568806	17667591	+	56
MYOD1	NM_002478	chr11	17741118	17743683	+	3
KCNC1	NM_001112741	chr11	17756328	17804604	+	4
SERGEF	NM_012139	chr11	17809595	18034594	-	11
TPH1	NM_004179	chr11	18039102	18067816	-	11
SAAL1	NM_138421	chr11	18101839	18127629	-	12
MRGPRX3	NM_001370464	chr11	18154118	18160035	+	2
MRGPRX4	NM_054032	chr11	18194384	18195827	+	1
SAA4	NM_006512	chr11	18252902	18258349	-	4
SAA2	NM_030754	chr11	18266787	18270215	-	4
SAA1	NM_199161	chr11	18287811	18291514	+	4
HPS5	NM_181507	chr11	18300223	18343687	-	23
GTF2H1	NM_005316	chr11	18344114	18388592	+	15
LDHA	NM_005566	chr11	18416110	18429972	+	8
LDHC	NM_017448	chr11	18433865	18473610	+	8
LDHAL6A	NM_144972	chr11	18477403	18501148	+	7
TSG101	NM_006292	chr11	18501858	18548489	-	10
UEVLD	NM_001040697	chr11	18551156	18610281	-	12
SPTY2D1	NM_194285	chr11	18627950	18655889	-	6
TMEM86A	NM_153347	chr11	18720326	18726332	+	3
IGSF22	NM_173588	chr11	18725859	18747735	-	23
PTPN5	NM_006906	chr11	18749475	18813345	-	15
MRGPRX2	NM_054030	chr11	19076002	19082264	-	2
ZDHHC13	NM_019028	chr11	19138715	19197962	+	17
CSRP3	NM_003476	chr11	19203577	19223530	-	6
E2F8	NM_024680	chr11	19245610	19262492	-	13
NAV2	NM_145117	chr11	19734383	20143147	+	38
DBX1	NM_001029865	chr11	20177701	20182021	-	4
HTATIP2	NM_001098522	chr11	20385260	20405328	+	5
PRMT3	NM_005788	chr11	20409262	20530884	+	16
SLC6A5	NM_004211	chr11	20621154	20680831	+	16
NELL1	NM_006157	chr11	20691132	21597232	+	20
ANO5	NM_213599	chr11	22214631	22304903	+	22
SLC17A6	NM_020346	chr11	22359927	22401049	+	12
FANCF	NM_022725	chr11	22644079	22647369	-	1
GAS2	NM_001143830	chr11	22688157	22834601	+	8
SVIP	NM_148893	chr11	22840473	22851347	-	4
CCDC179	NM_001195637	chr11	22868468	22882020	-	4
LUZP2	NM_001009909	chr11	24518599	25104184	+	12
ANO3	NM_031418	chr11	26353677	26684836	+	27
MUC15	NM_001135091	chr11	26580579	26593810	-	5
SLC5A12	NM_178498	chr11	26688567	26743607	-	15
FIBIN	NM_203371	chr11	27015659	27018634	+	1
BBOX1	NM_003986	chr11	27062362	27149356	+	9
CCDC34	NM_030771	chr11	27360059	27384762	-	6
LGR4	NM_018490	chr11	27387508	27494337	-	18
LIN7C	NM_018362	chr11	27515965	27528316	-	5
BDNF	NM_001709	chr11	27676440	27722002	-	2
KIF18A	NM_031217	chr11	28042166	28129703	-	17
METTL15	NM_001113528	chr11	28129935	28355054	+	7
KCNA4	NM_002233	chr11	30031277	30038577	-	2
FSHB	NM_001382289	chr11	30252561	30256741	+	3
ARL14EP	NM_152316	chr11	30344651	30359770	+	4
MPPED2	NM_001584	chr11	30431771	30607900	-	7
DCDC1	NM_001387274	chr11	30885150	31391286	-	39
DNAJC24	NM_181706	chr11	31391407	31454382	+	5
IMMP1L	NM_001304274	chr11	31453948	31531169	-	6
ELP4	NM_019040	chr11	31531314	31811872	+	10
PAX6	NM_001368894	chr11	31810574	31832870	-	14
RCN1	NM_002901	chr11	32112620	32127268	+	6
WT1	NM_024426	chr11	32409321	32457085	-	10
EIF3M	NM_006360	chr11	32605377	32627810	+	11
CCDC73	NM_001008391	chr11	32624267	32816208	-	18
PRRG4	NM_024081	chr11	32851473	32879666	+	6
QSER1	NM_001076786	chr11	32914357	33001816	+	13
DEPDC7	NM_001077242	chr11	33037424	33055128	+	9
TCP11L1	NM_018393	chr11	33061118	33095096	+	10
CSTF3	NM_001326	chr11	33106130	33183026	-	21
HIPK3	NM_005734	chr11	33278927	33378569	+	17
KIAA1549L	NM_012194	chr11	33397654	33695648	+	21
C11orf91	NM_001166692	chr11	33719654	33722286	-	2
CD59	NM_000611	chr11	33724556	33757969	-	4
FBXO3	NM_012175	chr11	33762490	33796066	-	11
LMO2	NM_005574	chr11	33880122	33913623	-	6
CAPRIN1	NM_005898	chr11	34073278	34124157	+	19
NAT10	NM_024662	chr11	34127176	34168455	+	29
ABTB2	NM_145804	chr11	34172534	34379557	-	17
CAT	NM_001752	chr11	34460481	34493607	+	13
ELF5	NM_001422	chr11	34500338	34535341	-	7
EHF	NM_012153	chr11	34642640	34684835	+	9
APIP	NM_015957	chr11	34903842	34937926	-	7
PDHX	NM_003477	chr11	34938165	35017675	+	11
CD44	NM_000610	chr11	35160718	35253949	+	18
SLC1A2	NM_004171	chr11	35272752	35441105	-	11
PAMR1	NM_001001991	chr11	35453374	35547164	-	11
FJX1	NM_014344	chr11	35640008	35642413	+	1
TRIM44	NM_017583	chr11	35684323	35839557	+	5
LDLRAD3	NM_174902	chr11	35965612	36253686	+	6
COMMD9	NM_014186	chr11	36293842	36310974	-	6
PRR5L	NM_001160167	chr11	36317838	36486754	+	9
TRAF6	NM_004620	chr11	36505319	36531822	-	7
RAG1	NM_000448	chr11	36589557	36601312	+	2
RAG2	NM_000536	chr11	36613493	36619786	-	2
IFTAP	NM_138787	chr11	36616052	36680822	+	6
LRRC4C	NM_001258419	chr11	40135759	41481202	-	7
API5	NM_001142930	chr11	43333546	43366079	+	14
TTC17	NM_018259	chr11	43380470	43516481	+	24
HSD17B12	NM_016142	chr11	43702288	43878165	+	11
ALKBH3	NM_139178	chr11	43902381	43941824	+	10
C11orf96	NM_001145033	chr11	43964187	43965428	+	1
ACCSL	NM_001031854	chr11	44069531	44081527	+	14
ACCS	NM_032592	chr11	44087820	44105787	+	15
EXT2	NM_207122	chr11	44117228	44273512	+	14
ALX4	NM_021926	chr11	44281990	44331689	-	4
CD82	NM_002231	chr11	44587213	44641908	+	10
TSPAN18	NM_130783	chr11	44748512	44953974	+	10
TP53I11	NM_006034	chr11	44953899	44972434	-	7
PRDM11	NM_001384648	chr11	45168190	45256660	+	8
SYT13	NM_020826	chr11	45261853	45307892	-	6
CHST1	NM_003654	chr11	45669239	45687172	-	4
SLC35C1	NM_018389	chr11	45826700	45834567	+	2
CRY2	NM_021117	chr11	45869026	45904795	+	12
MAPK8IP1	NM_005456	chr11	45907202	45928016	+	12
PEX16	NM_004813	chr11	45931214	45939428	-	11
LARGE2	NM_001300721	chr11	45944207	45950647	+	14
PHF21A	NM_001352027	chr11	45950870	46143005	-	19
CREB3L1	NM_052854	chr11	46299213	46342959	+	12
DGKZ	NM_001199267	chr11	46369013	46402101	+	31
MDK	NM_002391	chr11	46403219	46405351	+	5
CHRM4	NM_000741	chr11	46405339	46413326	-	2
AMBRA1	NM_001387011	chr11	46417964	46615573	-	18
HARBI1	NM_173811	chr11	46624411	46638777	-	3
ATG13	NM_001346311	chr11	46639103	46696068	+	19
ARHGAP1	NM_004308	chr11	46698630	46722169	-	13
ZNF408	NM_024741	chr11	46722581	46727462	+	5
F2	NM_000506	chr11	46740763	46761056	+	14
CKAP5	NM_001008938	chr11	46764598	46867831	-	44
LRP4	NM_002334	chr11	46878268	46940101	-	38
ARFGAP2	NM_032389	chr11	47185852	47198430	-	16
PACSIN3	NM_016223	chr11	47199073	47207985	-	11
DDB2	NM_000107	chr11	47236525	47260768	+	10
ACP2	NM_001610	chr11	47260853	47270365	-	11
NR1H3	NM_005693	chr11	47279547	47290584	+	10
MADD	NM_001376571	chr11	47291684	47351582	+	37
MYBPC3	NM_000256	chr11	47352957	47374253	-	35
SPI1	NM_003120	chr11	47376411	47400098	-	5
SLC39A13	NM_001128225	chr11	47430141	47438047	+	10
PSMC3	NM_002804	chr11	47440326	47447990	-	12
RAPSN	NM_005055	chr11	47459315	47470688	-	8
CELF1	NM_001376376	chr11	47487489	47574684	-	15
PTPMT1	NM_175732	chr11	47587151	47595013	+	4
KBTBD4	NM_018095	chr11	47593749	47600522	-	4
NDUFS3	NM_004551	chr11	47600626	47606114	+	7
FAM180B	NM_001164379	chr11	47608230	47610746	+	3
C1QTNF4	NM_031909	chr11	47611219	47615963	-	2
MTCH2	NM_014342	chr11	47638869	47664111	-	13
AGBL2	NM_024783	chr11	47681143	47736921	-	19
FNBP4	NM_015308	chr11	47738046	47788893	-	17
NUP160	NM_015231	chr11	47799635	47870096	-	36
PTPRJ	NM_002843	chr11	48002111	48192391	+	25
OR4B1	NM_001005470	chr11	48238362	48239291	+	1
OR4X2	NM_001004727	chr11	48266656	48267567	+	1
OR4X1	NM_001004726	chr11	48285413	48286330	+	1
OR4S1	NM_001004725	chr11	48327775	48328704	+	1
OR4C3	NM_001004702	chr11	48346472	48347507	+	1
OR4C5	NM_001348223	chr11	48386849	48388040	-	1
OR4A47	NM_001005512	chr11	48510345	48511274	+	1
TRIM49B	NM_001206626	chr11	49050375	49059707	+	7
TRIM64C	NM_001206631	chr11	49075266	49080664	-	6
FOLH1	NM_004476	chr11	49166644	49230154	-	19
OR4C13	NM_001001955	chr11	49973943	49974971	+	1
OR4C12	NM_001005270	chr11	50003009	50004071	-	1
OR4A5	NM_001005272	chr11	51411378	51412448	-	1
OR4C46	NM_001004703	chr11	51515282	51516211	+	1
TRIM48	NM_024114	chr11	55029631	55038590	+	6
OR4A16	NM_001005274	chr11	55110677	55111663	+	1
OR4A15	NM_001005275	chr11	55135360	55136394	+	1
OR4C15	NM_001001920	chr11	55321745	55323092	+	1
OR4C16	NM_001004701	chr11	55339604	55340536	+	1
OR4C11	NM_001004700	chr11	55369836	55375121	-	4
OR4S2	NM_001004059	chr11	55415803	55420330	+	2
OR4C6	NM_001004704	chr11	55429677	55433572	+	2
OR5D13	NM_001001967	chr11	55540914	55541858	+	1
OR5D14	NM_001004735	chr11	55563032	55563976	+	1
OR5L1	NM_001004738	chr11	55578843	55579952	+	1
OR5D18	NM_001001952	chr11	55587106	55588047	+	1
OR5L2	NM_001004739	chr11	55594695	55595630	+	1
OR5D16	NM_001005496	chr11	55606228	55607214	+	1
TRIM51	NM_032681	chr11	55650773	55659286	+	7
OR5W2	NM_001001960	chr11	55681126	55682058	-	1
OR5I1	NM_006637	chr11	55702932	55703876	-	1
OR10AG1	NM_001005491	chr11	55735034	55735939	-	1
OR5F1	NM_003697	chr11	55761157	55762101	-	1
OR5AS1	NM_001001921	chr11	55795130	55805667	+	2
OR8I2	NM_001003750	chr11	55860784	55861716	+	1
OR8H2	NM_001386064	chr11	55871163	55875134	+	2
OR8H3	NM_001005201	chr11	55889849	55890787	+	1
OR8J3	NM_001004064	chr11	55902197	55907677	-	2
OR8K5	NM_001004058	chr11	55926870	55927793	-	1
OR5J2	NM_001005492	chr11	55944094	55945032	+	1
OR5T2	NM_001004746	chr11	55998758	56001731	-	2
OR5T3	NM_001004747	chr11	56019676	56020698	+	1
OR5T1	NM_001004745	chr11	56041630	56044295	+	3
OR8H1	NM_001005199	chr11	56055938	56059730	-	2
OR8K3	NM_001005202	chr11	56085783	56086721	+	1
OR8K1	NM_001002907	chr11	56113515	56114474	+	1
OR8J1	NM_001005205	chr11	56121767	56128987	+	2
OR8U1	NM_001005204	chr11	56143100	56144029	+	1
OR8U3	NM_001004744	chr11	56184734	56185708	-	1
OR5M9	NM_001004743	chr11	56229945	56230877	-	1
OR5M3	NM_001004742	chr11	56236750	56240828	-	2
OR5M8	NM_001005282	chr11	56257911	56258846	-	1
OR5M11	NM_001005245	chr11	56309816	56310733	-	1
OR5M10	NM_001004741	chr11	56344250	56345197	-	1
OR5M1	NM_001004740	chr11	56376712	56382350	-	2
OR5AP2	NM_001002925	chr11	56408965	56409915	-	1
OR5AR1	NM_001004730	chr11	56431162	56432094	+	1
OR9G1	NM_001005213	chr11	56466571	56471360	+	2
OR9G4	NM_001005284	chr11	56510304	56511287	-	1
OR5AK2	NM_001005323	chr11	56756389	56757318	+	1
LRRC55	NM_001005210	chr11	56949427	56959191	+	2
APLNR	NM_005161	chr11	57001065	57004904	-	1
TNKS1BP1	NM_033396	chr11	57067116	57092426	-	12
SSRP1	NM_003146	chr11	57093462	57103366	-	17
P2RX3	NM_002559	chr11	57105826	57139869	+	12
PRG3	NM_006093	chr11	57144242	57148623	-	6
PRG2	NM_002728	chr11	57154253	57158123	-	6
SLC43A3	NM_199329	chr11	57174427	57194594	-	14
RTN4RL2	NM_178570	chr11	57228001	57245007	+	3
SLC43A1	NM_003627	chr11	57252007	57283175	-	15
TIMM10	NM_012456	chr11	57295937	57298227	-	3
SMTNL1	NM_001105565	chr11	57305068	57317745	+	8
UBE2L6	NM_004223	chr11	57319135	57335145	-	4
SERPING1	NM_000062	chr11	57365158	57382321	+	8
YPEL4	NM_145008	chr11	57412560	57417385	-	5
CLP1	NM_006831	chr11	57425234	57429337	+	3
ZDHHC5	NM_015457	chr11	57435586	57468654	+	12
MED19	NM_001317078	chr11	57471182	57479795	-	5
TMX2	NM_015959	chr11	57480065	57508445	+	8
SELENOH	NM_170746	chr11	57508963	57511022	+	4
BTBD18	NM_001145101	chr11	57510986	57519253	-	3
CTNND1	NM_001085458	chr11	57529274	57587012	+	21
OR9Q1	NM_001005212	chr11	57791353	57949088	+	3
OR6Q1	NM_001005186	chr11	57798425	57799378	+	1
OR9I1	NM_001005211	chr11	57884214	57893002	-	3
OR9Q2	NM_001005283	chr11	57956542	57961525	+	2
OR1S2	NM_001004459	chr11	57970676	57971653	-	1
OR1S1	NM_001004458	chr11	57980192	57983556	+	2
OR10Q1	NM_001004471	chr11	57995354	57996390	-	1
OR10W1	NM_207374	chr11	58034264	58035732	-	1
OR5B17	NM_001005489	chr11	58125597	58126542	-	1
OR5B3	NM_001005469	chr11	58169937	58174347	-	2
OR5B2	NM_001005566	chr11	58188711	58195594	-	3
OR5B12	NM_001004733	chr11	58206467	58209709	-	2
OR5B21	NM_001005218	chr11	58274280	58275773	-	1
LPXN	NM_004811	chr11	58294344	58343329	-	9
ZFP91	NM_053023	chr11	58346536	58389023	+	11
CNTF	NM_000614	chr11	58390138	58393206	+	2
GLYAT	NM_201648	chr11	58476230	58499416	-	6
GLYATL2	NM_145016	chr11	58601538	58612177	-	6
GLYATL1B	NM_001355566	chr11	58853780	58862259	+	5
FAM111B	NM_198947	chr11	58874710	58894885	+	4
FAM111A	NM_001312909	chr11	58910329	58922512	+	6
DTX4	NM_015177	chr11	58939605	58976061	+	9
MPEG1	NM_001039396	chr11	58975983	58980400	-	1
OR5AN1	NM_001004729	chr11	59126368	59139187	+	2
OR5A2	NM_001001954	chr11	59184442	59193886	-	2
OR5A1	NM_001004728	chr11	59203942	59218853	+	2
OR4D6	NM_001004708	chr11	59224434	59225378	+	1
OR4D10	NM_001004705	chr11	59240788	59246834	+	3
OR4D11	NM_001004706	chr11	59271049	59271984	+	1
OR4D9	NM_001004711	chr11	59279012	59288176	+	3
OSBP	NM_002556	chr11	59341871	59383247	-	14
PATL1	NM_152716	chr11	59404189	59436510	-	19
OR10V1	NM_001005324	chr11	59480389	59481318	-	1
STX3	NM_004177	chr11	59522849	59573351	+	11
MRPL16	NM_017840	chr11	59573613	59578251	-	4
CBLIF	NM_005142	chr11	59596746	59612972	-	9
TCN1	NM_001062	chr11	59620281	59633960	-	9
OOSP2	NM_173801	chr11	59807882	59815517	+	4
MS4A3	NM_006138	chr11	59824138	59838588	+	7
MS4A2	NM_000139	chr11	59856137	59865940	+	7
MS4A6A	NM_022349	chr11	59939970	59950804	-	6
MS4A4A	NM_148975	chr11	60048139	60076443	+	7
MS4A6E	NM_139249	chr11	60094728	60108814	+	5
MS4A7	NM_021201	chr11	60146005	60163421	+	7
MS4A14	NM_032597	chr11	60163932	60185229	+	5
MS4A5	NM_023945	chr11	60197045	60215265	+	5
MS4A1	NM_152866	chr11	60223320	60238225	+	8
MS4A12	NM_017716	chr11	60260251	60274903	+	7
MS4A13	NM_001012417	chr11	60282865	60310194	+	7
MS4A8	NM_031457	chr11	60467085	60483280	+	7
MS4A18	NM_001354471	chr11	60492193	60511686	+	7
MS4A15	NM_001098835	chr11	60524340	60544206	+	7
MS4A10	NM_206893	chr11	60552806	60568778	+	8
CCDC86	NM_024098	chr11	60609586	60618554	+	4
PTGDR2	NM_004778	chr11	60618406	60623423	-	2
ZP1	NM_207341	chr11	60635015	60643160	+	12
PRPF19	NM_014502	chr11	60658019	60674057	-	16
TMEM109	NM_024092	chr11	60681630	60690915	+	4
TMEM132A	NM_178031	chr11	60691932	60704631	+	11
SLC15A3	NM_016582	chr11	60704556	60719648	-	8
CD6	NM_006725	chr11	60739152	60787849	+	13
CD5	NM_014207	chr11	60869961	60895324	+	11
VPS37C	NM_017966	chr11	60897729	60928898	-	5
PGA3	NM_001079807	chr11	60970987	60980570	+	9
PGA4	NM_001079808	chr11	60989819	60999166	+	9
PGA5	NM_014224	chr11	61008647	61018916	+	9
VWCE	NM_152718	chr11	61025758	61062788	-	20
DDB1	NM_001923	chr11	61066923	61100577	-	27
TKFC	NM_015533	chr11	61100700	61116714	+	18
CYB561A3	NM_153611	chr11	61116277	61129354	-	7
TMEM138	NM_016464	chr11	61129846	61136981	+	5
TMEM216	NM_001173990	chr11	61160059	61166318	+	5
CPSF7	NM_001142565	chr11	61170201	61197447	-	10
SDHAF2	NM_017841	chr11	61197596	61214205	+	4
LRRC10B	NM_001145077	chr11	61276221	61278490	+	1
SYT7	NM_001365809	chr11	61281186	61348548	-	13
DAGLA	NM_006133	chr11	61447863	61514473	+	20
MYRF	NM_001127392	chr11	61520108	61555990	+	27
TMEM258	NM_014206	chr11	61556421	61560071	-	4
FEN1	NM_004111	chr11	61560383	61564710	+	2
FADS1	NM_013402	chr11	61567099	61584475	-	12
FADS2	NM_004265	chr11	61595772	61634826	+	12
FADS3	NM_021727	chr11	61640998	61659017	-	12
RAB3IL1	NM_013401	chr11	61664773	61685038	-	10
BEST1	NM_004183	chr11	61717823	61731933	+	11
FTH1	NM_002032	chr11	61731757	61735106	-	4
INCENP	NM_001040694	chr11	61891483	61920641	+	19
SCGB1D1	NM_006552	chr11	61957688	61961011	+	3
SCGB2A1	NM_002407	chr11	61976145	61981415	+	3
SCGB1D2	NM_006551	chr11	62009711	62012284	+	3
SCGB2A2	NM_002411	chr11	62037630	62040632	+	3
SCGB1D4	NM_206998	chr11	62063753	62066547	-	3
ASRGL1	NM_001083926	chr11	62104920	62160884	+	7
SCGB1A1	NM_003357	chr11	62186505	62190667	+	3
AHNAK	NM_001620	chr11	62283374	62314278	-	5
EEF1G	NM_001404	chr11	62327068	62341363	-	10
TUT1	NM_022830	chr11	62342524	62358995	-	9
MTA2	NM_004739	chr11	62360686	62369337	-	18
EML3	NM_153265	chr11	62369690	62380247	-	22
ROM1	NM_000327	chr11	62380729	62382588	+	3
B3GAT3	NM_012200	chr11	62382768	62389458	-	5
GANAB	NM_198334	chr11	62392301	62414085	-	24
INTS5	NM_030628	chr11	62414320	62420774	-	2
C11orf98	NM_001286086	chr11	62430289	62432682	-	4
LBHD1	NM_024099	chr11	62430289	62439255	-	7
CSKMT	NM_001043229	chr11	62432784	62435580	+	3
UQCC3	NM_001085372	chr11	62439145	62441158	+	2
UBXN1	NM_001286077	chr11	62443972	62446545	-	9
LRRN4CL	NM_203422	chr11	62453878	62457002	-	2
BSCL2	NM_001122955	chr11	62457747	62474896	-	11
GNG3	NM_012202	chr11	62475148	62476673	+	3
HNRNPUL2	NM_001079559	chr11	62480102	62494929	-	14
TTC9C	NM_173810	chr11	62495958	62506108	+	3
ZBTB3	NM_001370809	chr11	62518435	62521632	-	2
POLR2G	NM_002696	chr11	62529052	62534182	+	8
TAF6L	NM_006473	chr11	62538868	62554814	+	11
TMEM179B	NM_199337	chr11	62554874	62557872	+	5
TMEM223	NM_001080501	chr11	62557443	62559478	-	2
NXF1	NM_006362	chr11	62559602	62572912	-	21
STX5	NM_003164	chr11	62574332	62599523	-	11
WDR74	NM_001369450	chr11	62600383	62607062	-	11
SLC3A2	NM_001013251	chr11	62648368	62656332	+	9
CHRM1	NM_000738	chr11	62676151	62688835	-	2
SLC22A6	NM_153276	chr11	62744069	62752439	-	10
SLC22A8	NM_004254	chr11	62760296	62783313	-	11
SLC22A24	NM_001136506	chr11	62847412	62911693	-	10
SLC22A25	NM_199352	chr11	62930642	62997124	-	9
SLC22A10	NM_001039752	chr11	63057375	63079255	+	10
SLC22A9	NM_080866	chr11	63137257	63177766	+	10
PLAAT5	NM_001146729	chr11	63228876	63258639	-	6
LGALS12	NM_033101	chr11	63273556	63284244	+	9
PLAAT4	NM_004585	chr11	63304280	63313930	+	4
PLAAT2	NM_017878	chr11	63320242	63330851	-	4
PLAAT3	NM_001128203	chr11	63341934	63381905	-	5
ATL3	NM_015459	chr11	63391559	63438848	-	13
RTN3	NM_001265589	chr11	63448972	63527354	+	9
SPINDOC	NM_138471	chr11	63580928	63595188	+	6
MARK2	NM_001039469	chr11	63606582	63678492	+	19
RCOR2	NM_173587	chr11	63678702	63684636	-	12
NAA40	NM_024771	chr11	63706474	63724791	+	8
COX8A	NM_004074	chr11	63742092	63744015	+	2
OTUB1	NM_017670	chr11	63753910	63765884	+	7
MACROD1	NM_014067	chr11	63766030	63933585	-	11
FLRT1	NM_013280	chr11	63803403	63886643	+	3
STIP1	NM_006819	chr11	63953643	63972015	+	14
FERMT3	NM_031471	chr11	63974193	63991363	+	15
TRPT1	NM_001033678	chr11	63991288	63993658	-	8
NUDT22	NM_032344	chr11	63993746	63997488	+	6
DNAJC4	NM_005528	chr11	63998020	64001753	+	6
VEGFB	NM_003377	chr11	64002056	64006736	+	7
FKBP2	NM_004470	chr11	64008567	64011604	+	6
LOC114841035	NM_001370414	chr11	64008567	64011604	+	6
PPP1R14B	NM_138689	chr11	64011951	64014415	-	4
PLCB3	NM_000932	chr11	64019002	64035395	+	31
BAD	NM_032989	chr11	64037302	64052137	-	4
GPR137	NM_001170880	chr11	64053320	64056966	+	7
KCNK4	NM_033310	chr11	64058774	64067503	+	7
CATSPERZ	NM_001039496	chr11	64067830	64072242	+	5
ESRRA	NM_004451	chr11	64072996	64084215	+	7
TRMT112	NM_016404	chr11	64083932	64085031	-	4
PRDX5	NM_012094	chr11	64085593	64089283	+	6
CCDC88B	NM_032251	chr11	64107676	64125006	+	27
RPS6KA4	NM_003942	chr11	64126634	64139687	+	17
SLC22A11	NM_018484	chr11	64323413	64340347	+	10
SLC22A12	NM_144585	chr11	64358692	64369816	+	10
NRXN2	NM_015080	chr11	64373646	64490669	-	23
RASGRP2	NM_001098671	chr11	64494383	64511614	-	17
PYGM	NM_005609	chr11	64513870	64527446	-	20
SF1	NM_004630	chr11	64532078	64546014	-	13
MAP4K2	NM_004579	chr11	64552390	64570686	-	32
MEN1	NM_001370259	chr11	64570988	64578023	-	10
CDC42BPG	NM_017525	chr11	64590524	64612125	-	37
EHD1	NM_006795	chr11	64619114	64646093	-	5
ATG2A	NM_015104	chr11	64662018	64684681	-	41
PPP2R5B	NM_006244	chr11	64692161	64701947	+	14
GPHA2	NM_130769	chr11	64701943	64703365	-	4
MAJIN	NM_001037225	chr11	64705702	64739580	-	11
BATF2	NM_138456	chr11	64755417	64764443	-	3
ARL2	NM_001667	chr11	64781632	64789656	+	5
SNX15	NM_013306	chr11	64794911	64808044	+	8
SAC3D1	NM_013299	chr11	64808682	64812300	+	2
NAALADL1	NM_005468	chr11	64812290	64826025	-	18
CDCA5	NM_080668	chr11	64844925	64851512	-	6
ZFPL1	NM_006782	chr11	64851694	64855870	+	8
TMEM262	NM_001282448	chr11	64855848	64856582	-	3
VPS51	NM_013265	chr11	64863686	64879334	+	10
TM7SF2	NM_003273	chr11	64879344	64883702	+	10
ZNHIT2	NM_014205	chr11	64883875	64885173	-	1
FAU	NM_001997	chr11	64888102	64889606	-	5
MRPL49	NM_004927	chr11	64889793	64894843	+	4
SYVN1	NM_172230	chr11	64894751	64901990	-	16
SPDYC	NM_001008778	chr11	64937625	64940715	+	7
CAPN1	NM_005186	chr11	64949399	64979477	+	22
POLA2	NM_002689	chr11	65029433	65066156	+	18
CDC42EP2	NM_006779	chr11	65082337	65089888	+	2
DPF2	NM_006268	chr11	65101323	65121733	+	11
TIGD3	NM_145719	chr11	65122222	65125084	+	2
SLC25A45	NM_182556	chr11	65142663	65150117	-	7
FRMD8	NM_031904	chr11	65154108	65180996	+	11
NEAT1	NR_131012	chr11	65190269	65213011	+	1
MALAT1	NR_002819	chr11	65265209	65273987	+	1
SCYL1	NM_020680	chr11	65292554	65306175	+	18
LTBP3	NM_001130144	chr11	65306030	65325830	-	28
ZNRD2	NM_006396	chr11	65337948	65339359	+	4
FAM89B	NM_001098785	chr11	65340009	65341661	+	2
EHBP1L1	NM_001099409	chr11	65343524	65360121	+	19
KCNK7	NM_033347	chr11	65360307	65363271	-	3
MAP3K11	NM_002419	chr11	65365228	65381692	-	10
PCNX3	NM_032223	chr11	65383247	65404910	+	35
SIPA1	NM_006747	chr11	65405572	65418383	+	16
RELA	NM_021975	chr11	65421072	65430387	-	11
KAT5	NM_182710	chr11	65479723	65487075	+	13
RNASEH2C	NM_032193	chr11	65485144	65488269	-	4
AP5B1	NM_138368	chr11	65541369	65548447	-	2
OVOL1	NM_004561	chr11	65554534	65564685	+	4
SNX32	NM_152760	chr11	65601434	65621172	+	13
CFL1	NM_005507	chr11	65622144	65625651	-	4
MUS81	NM_025128	chr11	65627904	65633910	+	16
EFEMP2	NM_016938	chr11	65633912	65640271	-	11
CTSW	NM_001335	chr11	65647308	65651212	+	10
FIBP	NM_004214	chr11	65651211	65655942	-	10
CCDC85B	NM_006848	chr11	65658144	65659106	+	1
FOSL1	NM_005438	chr11	65659520	65667859	-	4
C11orf68	NM_001135635	chr11	65684281	65686533	-	2
DRAP1	NM_006442	chr11	65686897	65689034	+	7
TSGA10IP	NM_152762	chr11	65713115	65727434	+	8
SART1	NM_005146	chr11	65729205	65747608	+	20
EIF1AD	NM_001242481	chr11	65764016	65769628	-	6
BANF1	NM_003860	chr11	65769974	65771620	+	3
CST6	NM_001323	chr11	65779479	65780976	+	3
CATSPER1	NM_053054	chr11	65784223	65793950	-	12
GAL3ST3	NM_033036	chr11	65808236	65816632	-	3
SF3B2	NM_006842	chr11	65819835	65836779	+	22
PACS1	NM_018026	chr11	65837743	66012215	+	24
KLC2	NM_001318734	chr11	66025174	66035331	+	16
RAB1B	NM_030981	chr11	66036110	66044963	+	6
CNIH2	NM_182553	chr11	66045646	66051677	+	6
YIF1A	NM_020470	chr11	66052051	66056614	-	8
TMEM151A	NM_153266	chr11	66059365	66064135	+	2
CD248	NM_020404	chr11	66081965	66084515	-	1
RIN1	NM_004292	chr11	66097712	66103905	-	10
BRMS1	NM_015399	chr11	66104810	66112575	-	10
B4GAT1	NM_006876	chr11	66112845	66115100	-	2
SLC29A2	NM_001532	chr11	66129992	66139231	-	12
NPAS4	NM_178864	chr11	66188506	66194178	+	8
MRPL11	NM_016050	chr11	66202546	66206319	-	5
PELI3	NM_145065	chr11	66234376	66244808	+	8
DPP3	NM_130443	chr11	66247905	66277128	+	18
BBS1	NM_024649	chr11	66278106	66301069	+	17
ZDHHC24	NM_207340	chr11	66303097	66313519	-	3
ACTN3	NM_001104	chr11	66314374	66330805	+	21
CTSF	NM_003793	chr11	66330935	66336077	-	13
CCDC87	NM_018219	chr11	66357647	66360534	-	1
CCS	NM_005125	chr11	66360656	66373490	+	8
RBM14	NM_006328	chr11	66384101	66397405	+	3
RBM4	NM_002896	chr11	66406174	66413939	+	4
RBM4B	NM_031492	chr11	66432469	66445358	-	4
SPTBN2	NM_006946	chr11	66449968	66496687	-	38
RCE1	NM_005133	chr11	66610912	66614023	+	8
